date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:29:34	42382/42382	---M--	200	added ('OK')	image/webp	date:Wed,%2019%20Jul%202023%2009:51:59%20GMT	https://umrahcompanions.com/approot/storage/app/public/images/frontend/imgG2.webp	C:/My%20Web%20Sites/ucold/umrahcompanions.com/approot/storage/app/public/images/frontend/imgG2.webp	(from https://umrahcompanions.com/)
18:29:35	7364/7364	---M--	200	added ('OK')	image/webp	date:Wed,%2019%20Jul%202023%2009:51:59%20GMT	https://umrahcompanions.com/approot/storage/app/public/images/frontend/imgG3.webp	C:/My%20Web%20Sites/ucold/umrahcompanions.com/approot/storage/app/public/images/frontend/imgG3.webp	(from https://umrahcompanions.com/)
18:29:35	1924/1924	---M--	200	added ('OK')	image/webp	date:Wed,%2019%20Jul%202023%2009:51:59%20GMT	https://umrahcompanions.com/approot/storage/app/public/images/frontend/icon2.webp	C:/My%20Web%20Sites/ucold/umrahcompanions.com/approot/storage/app/public/images/frontend/icon2.webp	(from https://umrahcompanions.com/)
18:29:36	25964/25964	---M--	200	added ('OK')	image/webp	date:Wed,%2019%20Jul%202023%2009:52:00%20GMT	https://umrahcompanions.com/approot/storage/app/public/images/frontend/imgG16.webp	C:/My%20Web%20Sites/ucold/umrahcompanions.com/approot/storage/app/public/images/frontend/imgG16.webp	(from https://umrahcompanions.com/)
18:29:36	10010/10010	---M--	200	added ('OK')	image/webp	date:Wed,%2019%20Jul%202023%2009:51:59%20GMT	https://umrahcompanions.com/approot/storage/app/public/images/frontend/imgG10.webp	C:/My%20Web%20Sites/ucold/umrahcompanions.com/approot/storage/app/public/images/frontend/imgG10.webp	(from https://umrahcompanions.com/)
18:29:36	33388/33388	---M--	200	added ('OK')	image/webp	date:Wed,%2019%20Jul%202023%2009:51:59%20GMT	https://umrahcompanions.com/approot/storage/app/public/images/frontend/imgG4.webp	C:/My%20Web%20Sites/ucold/umrahcompanions.com/approot/storage/app/public/images/frontend/imgG4.webp	(from https://umrahcompanions.com/)
18:29:36	284098/284098	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20Jul%202023%2009:55:04%20GMT	https://umrahcompanions.com/approot/storage/app/public/images/frontend/offer-1.jpg	C:/My%20Web%20Sites/ucold/umrahcompanions.com/approot/storage/app/public/images/frontend/offer-1.jpg	(from https://umrahcompanions.com/)
18:29:37	6320/6320	---M--	200	added ('OK')	image/webp	date:Wed,%2019%20Jul%202023%2009:52:00%20GMT	https://umrahcompanions.com/approot/storage/app/public/images/frontend/imgG17.webp	C:/My%20Web%20Sites/ucold/umrahcompanions.com/approot/storage/app/public/images/frontend/imgG17.webp	(from https://umrahcompanions.com/)
18:29:37	1112/1112	---M--	200	added ('OK')	image/webp	date:Wed,%2019%20Jul%202023%2009:51:59%20GMT	https://umrahcompanions.com/approot/storage/app/public/images/frontend/icon4.webp	C:/My%20Web%20Sites/ucold/umrahcompanions.com/approot/storage/app/public/images/frontend/icon4.webp	(from https://umrahcompanions.com/)
18:29:38	15796/15796	---M--	200	added ('OK')	image/webp	date:Wed,%2019%20Jul%202023%2009:51:59%20GMT	https://umrahcompanions.com/approot/storage/app/public/images/frontend/imgG11.webp	C:/My%20Web%20Sites/ucold/umrahcompanions.com/approot/storage/app/public/images/frontend/imgG11.webp	(from https://umrahcompanions.com/)
